V,S,R,G,d,W1,W2,W3,W4,W5,W6,W7,W8,D1,D2,D3,D4,D5,D6,D7,D8,WO1,WO2,WO3,WO4,WO5,WO6,WN1,WN2,WN3,WN4,WN5,WN6,IW1,IW2,IW3,IW4,CW1,CW2,CW3,CW4,CW5,CW6,CW7,CW8,ID1,ID2,ID3,ID4,CD1,CD2,CD3,CD4,CD5,CD6,CD7,CD8,HL1,HL2,A,CP,POL,MW,FLEX,FLEX_RB,NCC,DIFF,SE,SE0,SE1,LOGP n-Oct,LOGP c-Hex,PSA,HSA,PSAR,PHSAR,LgD5,LgD6,LgD7,LgD7.5,LgD8,LgD9,LgD10,AUS7.4,%FU4,%FU5,%FU6,%FU7,%FU8,%FU9,%FU10,SOLY,LgS3,LgS4,LgS5,LgS6,LgS7,LgS7.5,LgS8,LgS9,LgS10,LgS11,MpKaA,mpKaB,PB,VD,CACO2,SKIN,MetStab,HTSflag,C1,C2,C3,C4,C5,P1,P2,P3,P4,P5,EMDIF,EMDIS,Sdry/S,Spol/S,FLEX_PT,PAINS,Target
327.875,248.402,1.31994,1.12279,0.511927,560.0,163.875,4.875,0.0,0.0,0.0,0.0,0.0,290.125,106.625,51.25,24.25,8.75,3.625,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00269201,0.0799805,0.0,0.0,2.25441,0.659716,0.0196254,0.0,0.0,0.0,0.0,0.0,0.00254086,0.0286435,0.0901562,0.410864,1.16796,0.429243,0.206319,0.0976239,0.0352251,0.0145933,0.00402573,0.000503216,0.0,0.0,1.07083,102.5,12.156,167.848,0.244904,0.244904,0,1.01545,2.22344,2.22344,0.0,2.8708,2.667,0.0,248.402,0.0,0.0,2.8708,2.8708,2.8708,2.8708,2.8708,2.8708,2.8708,2.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-3.50988,-3.50988,-3.50988,-3.50988,-3.50988,-3.50988,-3.50988,-3.50988,-3.50988,-3.50988,-3.50988,,,59.0272,0.781971,1.28038,-0.939378,63.1237,0,0.0,0.166667,0.166667,0.0,0,0,0.0,0.0,0.0,0.0,3.11199,2.80238,1.0,0.0,0.195959,0,0.33
210.125,175.335,1.19842,1.03896,0.468668,540.875,335.875,190.0,79.75,16.0,0.0,0.0,0.0,71.625,10.75,3.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.75,84.0,11.5,0.0,0.0,0.0,0.247383,0.642206,1.08033,0.0,3.08481,1.91562,1.08364,0.454844,0.0912539,0.0,0.0,0.0,0.166454,0.0792356,0.0,0.0,0.408504,0.0613112,0.0171101,0.00427753,0.0,0.0,0.0,0.0,5.33333,0.0,2.86372,0.575798,5.998,98.4789,0.0,0.0,0,1.17716,2.54564,2.54564,0.0,1.66289,2.059,3.4,171.935,0.0193915,0.0197749,1.66289,1.66289,1.66289,1.66289,1.66289,1.66289,1.66289,2.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-0.952952,-0.952952,-0.952952,-0.952952,-0.952952,-0.952952,-0.952952,-0.952952,-0.952952,-0.952952,-0.952952,,,46.7887,0.123791,1.19612,-2.02298,100.0,0,0.0,0.2,0.2,0.0,0,0,0.0,0.0,0.0,0.0,3.63672,1.35907,0.522885,0.432101,0.0,0,-0.02
256.375,205.486,1.24765,1.08036,0.385992,406.875,66.625,0.0,0.0,0.0,0.0,0.0,0.0,232.5,79.875,32.375,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000564645,0.0,0.0,0.0,1.98006,0.324232,0.0,0.0,0.0,0.0,0.0,0.0,0.00123395,0.0107415,0.0,0.0,1.13147,0.388713,0.157554,0.0182494,0.0,0.0,0.0,0.0,0.0,0.0,0.12151,64.75,8.3,98.9586,0.276788,0.276788,0,1.08736,1.49681,1.49681,0.0,1.53689,1.502,0.0,205.486,0.0,0.0,1.53689,1.53689,1.53689,1.53689,1.53689,1.53689,1.53689,2.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-2.445,-2.445,-2.445,-2.445,-2.445,-2.445,-2.445,-2.445,-2.445,-2.445,-2.445,,,45.3603,0.50058,1.31907,-1.15234,69.893,0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0.0,0.0,1.50746,2.2557,1.0,0.0,0.5,0,-0.14
430.0,316.145,1.36013,1.22924,0.330687,658.75,302.5,126.625,45.25,15.125,1.125,0.0,0.0,168.875,54.5,11.375,4.5,0.75,0.25,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.75,56.625,17.625,1.5,0.0,0.0,0.06746,0.364369,0.723026,0.0,2.08369,0.956838,0.400528,0.14313,0.0478419,0.00355849,0.0,0.0,0.0296698,0.148183,0.206853,0.330618,0.534169,0.172389,0.0359803,0.014234,0.00237233,0.000790775,0.000395388,0.0,1.32967,0.25,5.11295,0.626465,16.344,142.195,1.54119,0.220171,0,0.824371,3.70054,3.70054,0.0,2.29155,0.802,22.86,293.285,0.0723085,0.0779445,2.29155,2.29155,2.29155,2.29155,2.29155,2.29155,2.29155,2.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-2.42192,-2.42192,-2.42192,-2.42192,-2.42192,-2.42192,-2.42192,-2.42192,-2.42192,-2.42192,-2.42192,,,55.026,0.23133,1.44741,-1.59458,59.6152,0,0.0,0.0,0.4,0.4,0,0,0.0,0.2,0.0,0.0,2.50582,2.93298,0.683736,0.135974,5.53399,0,0.12
632.125,417.592,1.51374,1.2694,0.459359,1104.75,704.75,315.625,119.5,52.25,11.75,0.25,0.0,190.5,93.0,43.5,23.125,12.25,7.125,6.25,4.125,180.5,56.375,18.25,1.625,0.0,0.0,364.125,132.5,56.375,10.375,0.0,0.0,0.0603886,0.236615,0.755294,1.66286,2.64552,1.68765,0.755821,0.286164,0.125122,0.0281375,0.00059867,0.0,0.0444109,0.10236,0.177377,0.237496,0.456187,0.222705,0.104169,0.055377,0.0293348,0.0170621,0.0149668,0.00987806,1.20115,0.508108,6.03997,1.23816,31.315,290.372,5.38712e-07,1.79571e-07,0,0.686598,9.39191,1.6835,7.70841,3.54328,-0.402,45.86,371.732,0.10982,0.123368,3.54328,3.54327,3.54322,3.54309,3.54268,3.53733,3.48715,2.0,100.0,99.9999,99.9986,99.9862,99.8622,98.6386,87.8717,-3.56277,-3.56277,-3.56277,-3.56277,-3.56277,-3.56271,-3.56258,-3.56217,-3.55682,-3.50664,-3.18635,14.8292,,79.6063,0.367284,1.05989,-2.35632,55.1354,0,0.0,0.0434783,0.173913,0.565217,0,0,0.0,0.0869565,0.0869565,0.0,5.96007,1.36324,0.583919,0.271856,0.0,0,-0.3
257.0,209.719,1.22545,1.11121,0.288411,494.375,294.75,162.625,74.75,36.875,12.5,0.0,0.0,88.0,24.125,2.625,0.125,0.0,0.0,0.0,0.0,98.25,34.875,7.625,0.0,0.0,0.0,198.75,88.875,42.375,14.25,0.0,0.0,0.343651,0.902646,1.57546,0.0,2.35732,1.40545,0.775444,0.35643,0.175831,0.0596037,0.0,0.0,0.122116,0.174235,0.0,0.0,0.41961,0.115035,0.0125168,0.000596037,0.0,0.0,0.0,0.0,14.0476,25.0,4.91255,0.100485,8.751,74.1216,0.503058,0.125764,0,1.07305,2.884,0.0,2.884,1.09177,-1.174,20.23,189.489,0.0964625,0.106761,1.09177,1.09177,1.09177,1.09177,1.09177,1.09177,1.09177,2.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9998,-0.417749,-0.417749,-0.417749,-0.417749,-0.417749,-0.417749,-0.417749,-0.417749,-0.417749,-0.417749,-0.417749,15.6689,,19.7134,0.0425172,1.05431,-2.36866,100.0,0,0.0,0.0,0.166667,0.5,0,0,0.0,0.166667,0.166667,0.0,3.90329,1.41862,0.5371,0.338608,2.23607,0,-0.02
491.5,353.949,1.38862,1.27398,0.285383,596.875,125.625,0.125,0.0,0.0,0.0,0.0,0.0,282.5,105.75,30.625,10.0,3.5,0.625,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00825706,0.220766,0.0,0.0,1.68633,0.354924,0.000353158,0.0,0.0,0.0,0.0,0.0,0.0110215,0.0554956,0.188954,0.412941,0.798137,0.298772,0.0865237,0.0282526,0.00988842,0.00176579,0.000353158,0.0,0.0,0.0,1.3892,61.25,18.932,140.266,1.9524,0.244049,0,0.776198,0.0,0.0,0.0,4.81324,2.404,0.0,353.949,0.0,0.0,4.81324,4.81324,4.81324,4.81324,4.81324,4.81324,4.81324,2.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-4.22487,-4.22487,-4.22487,-4.22487,-4.22487,-4.22487,-4.22487,-4.22487,-4.22487,-4.22487,-4.22487,,,66.9564,0.642818,1.65712,-0.493526,33.2488,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.163224,1.51856,1.0,0.0,6.32456,0,0.96
691.875,468.731,1.47606,1.37921,0.493971,1180.63,721.0,392.0,166.875,84.25,34.375,8.375,2.875,251.625,119.875,57.25,34.25,21.125,14.625,10.875,7.375,139.625,50.0,23.625,10.375,0.625,0.0,482.0,200.25,96.375,32.375,5.5,0.25,0.0896753,0.282794,0.599999,0.817343,2.51877,1.5382,0.836301,0.356014,0.179741,0.0733363,0.0178674,0.00613358,0.0578609,0.128241,0.20647,0.26577,0.536822,0.255744,0.122138,0.0730696,0.0450685,0.0312013,0.0232009,0.015734,1.47162,1.00365,5.28525,0.939543,35.183,341.766,0.512176,0.170725,0,0.554561,15.6432,10.4751,5.1681,1.94392,1.448,53.9,414.831,0.114991,0.129932,1.33745,1.82872,1.9309,1.93971,1.94242,1.94196,1.926,1.9978,3.12157,24.7242,76.6944,97.0475,99.6553,99.5506,95.9573,-3.35522,-0.826571,-1.85375,-2.74876,-3.24003,-3.34221,-3.35101,-3.35372,-3.35327,-3.3373,-3.20268,11.3757,2.33325,75.8663,0.401522,0.823161,-3.22764,62.8394,0,0.0,0.2,0.2,0.32,0,0,0.0,0.04,0.08,0.04,7.57101,5.74514,0.670147,0.329853,0.265706,0,-0.08
454.375,328.697,1.38235,1.23325,0.277831,552.0,109.875,0.0,0.0,0.0,0.0,0.0,0.0,267.5,95.875,27.5,9.125,3.875,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0103936,0.0,0.0,0.0,1.67936,0.334275,0.0,0.0,0.0,0.0,0.0,0.0,0.0122545,0.0502766,0.159727,0.248901,0.81382,0.291682,0.0836637,0.0277612,0.011789,0.00228174,0.00076058,0.0,0.0,0.0,0.99626,55.0,17.097,126.239,1.52334,0.21762,0,0.827796,0.0,0.0,0.0,4.32387,2.132,0.0,328.697,0.0,0.0,4.32387,4.32387,4.32387,4.32387,4.32387,4.32387,4.32387,2.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-3.94745,-3.94745,-3.94745,-3.94745,-3.94745,-3.94745,-3.94745,-3.94745,-3.94745,-3.94745,-3.94745,,,63.3765,0.635891,1.64476,-0.630057,38.3138,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.16864,1.51868,1.0,0.0,5.25,0,0.86
411.5,303.507,1.35582,1.20825,0.272692,501.25,92.125,0.375,0.0,0.0,0.0,0.0,0.0,245.75,87.0,26.875,7.625,1.75,0.375,0.375,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00720732,0.257102,0.0,0.0,1.65153,0.303535,0.00123556,0.0,0.0,0.0,0.0,0.0,0.00867273,0.0347367,0.0794341,0.365595,0.809702,0.286649,0.0885482,0.025123,0.00576593,0.00123556,0.00123556,0.000411852,0.0,0.0,0.659308,53.75,15.262,112.213,1.21679,0.202799,0,0.894791,0.0,0.0,0.0,3.8345,1.86,0.0,303.507,0.0,0.0,3.8345,3.8345,3.8345,3.8345,3.8345,3.8345,3.8345,2.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-3.56447,-3.56447,-3.56447,-3.56447,-3.56447,-3.56447,-3.56447,-3.56447,-3.56447,-3.56447,-3.56447,,,58.3457,0.565645,1.61327,-0.711519,45.9637,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.176454,1.51869,1.0,0.0,4.24264,0,0.74
299.25,235.801,1.26908,1.13778,0.294564,517.25,279.625,152.625,69.25,34.125,11.75,0.125,0.0,103.75,29.25,4.625,1.125,0.0,0.0,0.0,0.0,91.625,30.875,6.5,0.0,0.0,0.0,187.0,86.125,40.875,14.375,0.125,0.0,0.272703,0.815393,1.43325,1.84855,2.19359,1.18585,0.647262,0.29368,0.144719,0.0498301,0.000530108,0.0,0.102079,0.247568,0.0,0.0,0.439989,0.124045,0.019614,0.00477097,0.0,0.0,0.0,0.0,7.37838,10.4444,6.10218,0.119011,10.586,88.1482,0.630405,0.126081,0,1.00356,2.884,0.0,2.884,1.58114,-0.902,20.23,215.571,0.0857926,0.0938437,1.58114,1.58114,1.58114,1.58114,1.58114,1.58114,1.58113,2.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9998,-0.745581,-0.745581,-0.745581,-0.745581,-0.745581,-0.745581,-0.745581,-0.745581,-0.745581,-0.745581,-0.745581,15.8305,,39.2011,0.0611287,1.14868,-2.07659,100.0,0,0.0,0.0,0.142857,0.571429,0,0,0.0,0.142857,0.142857,0.0,3.91223,1.41847,0.563186,0.278996,3.06186,0,0.2
